Tankno,Year,Day,TempC,CondmScm,pH,TurbidityFNU,DOmgL,TotalChlorugL
1,2021,2,20.142,173.5,7.78,4.61,8.63,4.38
2,2021,2,19.722,173.6,7.84,4.13,8.09,2.72
3,2021,2,19.818,173.7,7.7,4.67,8.22,2.77
4,2021,2,19.675,173.9,7.87,4.64,8.2,3.2
5,2021,2,19.692,175.6,7.95,4.7,8.75,4.75
6,2021,2,19.71,173.8,7.79,4.46,8.22,3.09
7,2021,2,19.738,173.6,7.88,4.17,8.48,3.39
8,2021,2,19.684,173.7,7.92,4.48,8.35,3.9
9,2021,2,19.701,174,7.92,4.55,8.84,4.76
10,2021,2,19.735,174,7.93,4.37,8.22,3.3
11,2021,2,19.8,175.5,7.86,4.6,8.33,3.83
12,2021,2,19.61,173.7,7.97,4.67,8.78,4.14
13,2021,2,19.596,176.3,7.9,4.55,8.66,4.41
14,2021,2,19.588,173.6,7.87,4.6,8.9,4.44
15,2021,2,19.624,174.8,7.81,4.79,8.35,3.65
16,2021,2,19.636,173.8,7.86,4.66,8.28,3.21
17,2021,2,19.557,175.2,7.87,4.6,8.43,3.94
18,2021,2,19.594,174,7.82,4.35,8.14,3.09
19,2021,2,19.65,174.7,7.86,4.61,8.27,3.13
20,2021,2,19.672,174.1,7.84,4.68,8.24,3.14
21,2021,2,19.74,175,7.78,4.78,8.33,3.38
22,2021,2,19.815,174.2,7.77,4.41,8.23,3.08
1,2021,7,20.597,173.6,7.99,2.11,9.04,1.33
3,2021,7,20.315,173.6,8.01,2.5,9.11,1.32
4,2021,7,20.012,173.7,7.99,2.35,9.12,1.24
5,2021,7,20.025,175.3,8,1.83,9.03,1.21
6,2021,7,19.985,173.6,7.92,2.03,8.96,1.24
7,2021,7,19.952,173.4,7.95,2.09,8.93,1.32
8,2021,7,19.911,173.4,8,2.17,9.06,1.37
9,2021,7,19.864,173.9,8.08,2.17,9.17,1.42
10,2021,7,19.939,173.8,7.97,1.78,9.01,1.26
11,2021,7,20.142,175.3,8,2.47,9.14,1.39
12,2021,7,19.692,173.6,8.06,1.93,9.13,1.32
14,2021,7,19.752,173.7,8.06,1.94,9.19,1.22
15,2021,7,19.837,174.7,7.92,1.87,9.13,1.31
16,2021,7,19.874,173.9,7.76,1.54,8.74,1.16
18,2021,7,19.878,173.7,7.9,1.74,8.97,1.37
19,2021,7,19.885,173.7,7.82,1.68,8.97,1.27
20,2021,7,19.966,173.7,8.08,2.16,9.1,1.39
21,2021,7,19.935,175.8,7.79,1.49,8.21,1.25
22,2021,7,20.134,173.8,7.86,1.49,8.59,1.38
1,2021,16,20.574,173.5,8.16,1.03,9,1.14
3,2021,16,20.344,173.5,8.17,1.11,9.04,1.09
4,2021,16,20.051,173.6,7.83,1.22,9,1.1
5,2021,16,20.166,176.6,8.19,0.94,8.95,1.11
6,2021,16,20.033,173.7,8.1,0.92,8.94,1.15
7,2021,16,20.02,174,8.16,0.98,8.93,1.06
8,2021,16,19.976,174.2,8.06,0.91,8.96,1.16
9,2021,16,20.017,173.7,8.22,1.29,9.07,1.19
10,2021,16,20.069,174,8.04,0.68,8.91,1.14
11,2021,16,20.17,175.6,8.24,1.09,9.08,1.13
12,2021,16,19.696,173.5,8.21,1.06,9.09,1.07
14,2021,16,19.785,173.4,8.1,1.02,9.13,1.09
15,2021,16,19.864,175.4,8.14,0.84,9.07,1.09
16,2021,16,19.917,173.8,7.88,0.57,8.6,1.02
18,2021,16,19.945,173.6,8.09,0.66,8.82,1.04
19,2021,16,19.953,174.9,8.05,0.74,8.91,0.99
20,2021,16,20.014,173.6,8.1,0.95,9.06,1.15
21,2021,16,20.087,175.1,7.86,0.63,7.91,1.11
22,2021,16,20.19,173.8,7.99,0.59,8.48,0.96
1,2022,2,20.418,164.8,7.59,10.3,9.12,9.94
2,2022,2,20.28,164.8,7.49,10.2,9.12,10
3,2022,2,20.266,163.8,7.51,10.24,9.1,10
4,2022,2,20.226,164.5,7.62,10.48,9.26,10.27
5,2022,2,20.24,164.7,7.64,10.27,9.22,10.13
6,2022,2,20.245,165,7.5,10.11,8.52,9.75
7,2022,2,20.285,164.5,7.76,10.39,9.15,10.06
8,2022,2,20.139,164.7,7.64,10.19,9.14,10.24
9,2022,2,20.199,164.4,7.75,10.58,9.27,9.73
10,2022,2,20.266,164.5,7.67,10.41,9.07,10.28
11,2022,2,20.393,164.6,7.61,10.26,9.22,9.92
12,2022,2,20.178,164.6,7.64,10.72,9.27,10.22
13,2022,2,20.214,164.5,7.65,10.27,9.25,10
14,2022,2,20.172,163.5,7.64,10.62,9.27,10.38
15,2022,2,20.191,164.7,7.59,10.29,9.32,9.93
16,2022,2,20.223,164.5,7.65,10.88,9.29,10.8
17,2022,2,20.227,164.7,7.6,10.45,9.26,9.98
18,2022,2,20.255,167,7.64,10.67,9.26,10.36
19,2022,2,20.227,164.7,7.58,10.23,9.22,10
20,2022,2,20.302,164.8,7.55,10.29,9.16,10.2
21,2022,2,20.285,164.6,7.7,10.37,9.27,10.21
22,2022,2,20.389,164.7,7.56,10.23,9.14,10.03
1,2022,16,20.514,165.1,7.98,3.66,7.84,7.89
2,2022,16,20.106,164.9,7.98,3.54,8,7.79
3,2022,16,20.158,164.4,8.44,5.45,8.92,8.41
4,2022,16,19.848,164.7,8.01,4.09,8.62,8.31
5,2022,16,19.964,165.6,8.23,4.9,9.07,8.19
6,2022,16,19.939,164.7,8.08,5.26,9.07,8.37
7,2022,16,19.789,164.2,8.1,5.37,9.09,8.25
8,2022,16,19.78,164.3,8.04,5.42,9.07,8.3
9,2022,16,19.803,164.1,8.03,5.04,9.12,8.5
10,2022,16,19.851,164.1,7.77,5.93,9.05,8.58
12,2022,16,19.431,164.1,7.98,5.22,9.15,8.17
13,2022,16,19.367,164.8,8.17,4.98,9.08,8.43
14,2022,16,19.449,164.4,8.2,4.9,9.09,8.5
15,2022,16,19.553,164.3,7.95,4.81,9.21,8.37
16,2022,16,19.658,164.2,8.01,4.85,9.16,8.4
17,2022,16,19.66,164.2,8.04,5.1,9.14,8.32
18,2022,16,19.76,166.6,7.99,4.75,9.09,8.15
19,2022,16,19.784,164.4,7.87,4.47,8.92,8.05
20,2022,16,19.893,164.8,7.88,3.79,8.21,8.18
21,2022,16,19.839,164.2,7.83,4.53,8.82,8.45
