sample.id,Tank,Experiment,Day,Year,ExpYear,sample_date,SampleEvent,treatment_cellsperml,observed_treatment_cellperml,Species,total_density,relative_inoculant_density_percent,d__Eukaryota.p__Euglenozoa.c__Euglenida.o__Euglenophyceae.f__Euglenaceae.g__Trachelomonas.s__Trachelomonas_sp.,d__Eukaryota.p__Ochrophyta.c__Chrysophyceae.o__Synurales.f__Synurales.g__Synura.__,d__Eukaryota.p__Ochrophyta.c__Chrysophyceae.o__Synurales.f__Synurales.g__Mallomonas.s__Mallomonas_caudata,d__Eukaryota.p__Chlorophyta.c__Chlorophyceae.o__Chlorophyceae.f__Chlorophyceae.g__Chlorophyceae.s__Haematococcus_lacustris,d__Eukaryota.p__Euglenozoa.c__Euglenida.o__Euglenophyceae.f__Euglenaceae.g__Trachelomonas.__
D14MTP9Exp12021,9,1,14,2021,12021,6/28/2021,Week2,1,0,Haematococcus pluvialis,5394.597792,0,0,0,0,0,0
D14MTP9Exp12022,9,1,14,2022,12022,6/15/2022,Week2,100,12.87248485,Chrysosphaerella sp.,7559.772372,0.170276091,0,8,0,0,0
D14MTP9Exp22021,9,2,14,2021,22021,8/9/2021,Week2,1,0,Trachelomonas abrupta,7552.80176,0,0,0,0,0,0
D14MTP9Exp32022,9,3,14,2022,32022,10/3/2022,Week2,1,0,Chrysosphaerella sp.,4053.223667,0,0,0,0,0,0
D15MTP10Exp22022,10,2,15,2022,22022,8/2/2022,Week2,0,0,Haematococcus pluvialis,1228.565098,0,0,0,0,0,1
D15MTP12Exp22022,12,2,15,2022,22022,8/2/2022,Week2,100,4.452746331,Haematococcus pluvialis,1204.951877,0.369537275,0,0,0,38,0
D15MTP13Exp22022,13,2,15,2022,22022,8/2/2022,Week2,1,0,Haematococcus pluvialis,2392.679636,0,0,0,0,0,0
D15MTP14Exp22022,14,2,15,2022,22022,8/2/2022,Week2,30,50.13639485,Haematococcus pluvialis,2011.879491,2.492017792,0,0,0,34,0
D15MTP15Exp22022,15,2,15,2022,22022,8/2/2022,Week2,100,8.722628337,Haematococcus pluvialis,1730.738007,0.503983174,0,0,0,131,1
D15MTP16Exp22022,16,2,15,2022,22022,8/2/2022,Week2,0,0,Haematococcus pluvialis,1434.642353,0,2,0,0,0,0
D15MTP17Exp22022,17,2,15,2022,22022,8/2/2022,Week2,1,4.290828283,Haematococcus pluvialis,4796.815956,0.089451593,0,0,1,0,0
D15MTP18Exp22022,18,2,15,2022,22022,8/2/2022,Week2,10,89.05492662,Haematococcus pluvialis,6991.924927,1.273682535,3,0,0,686,0
D15MTP19Exp22022,19,2,15,2022,22022,8/2/2022,Week2,100,17.55338843,Haematococcus pluvialis,1579.78744,1.111123432,0,0,1,44,0
D15MTP1Exp22022,1,2,15,2022,22022,8/2/2022,Week2,10,4.397432712,Haematococcus pluvialis,2126.241935,0.206817138,0,0,36,1,0
D15MTP20Exp22022,20,2,15,2022,22022,8/2/2022,Week2,1,0,Haematococcus pluvialis,2453.1738,0,0,0,0,3,0
D15MTP21Exp22022,21,2,15,2022,22022,8/2/2022,Week2,1,4.256432866,Haematococcus pluvialis,2520.035667,0.168903676,0,0,3,2,0
D15MTP2Exp22022,2,2,15,2022,22022,8/2/2022,Week2,0,0,Haematococcus pluvialis,3429.707864,0,0,0,0,0,0
D15MTP3Exp22022,3,2,15,2022,22022,8/2/2022,Week2,10,0,Haematococcus pluvialis,2014.1,0,0,0,8,15,0
D15MTP4Exp22022,4,2,15,2022,22022,8/2/2022,Week2,30,29.55809145,Haematococcus pluvialis,9931.215878,0.297628123,0,0,0,36,0
D15MTP5Exp22022,5,2,15,2022,22022,8/2/2022,Week2,30,4.370288066,Haematococcus pluvialis,3450.387023,0.126660808,0,0,0,13,0
D15MTP6Exp22022,6,2,15,2022,22022,8/2/2022,Week2,10,12.84653226,Haematococcus pluvialis,20983.70057,0.061221481,0,0,6,3,0
D15MTP7Exp22022,7,2,15,2022,22022,8/2/2022,Week2,100,0,Haematococcus pluvialis,802.4178492,0,0,0,18,25,0
D15MTP8Exp22022,8,2,15,2022,22022,8/2/2022,Week2,30,4.273561368,Haematococcus pluvialis,3230.037811,0.132306853,0,1,6,7,0
D15MTP9Exp22022,9,2,15,2022,22022,8/2/2022,Week2,0,0,Haematococcus pluvialis,2249.407739,0,0,0,5,0,0
D1MTP10Exp22022,10,2,1,2022,22022,7/19/2022,Day0,0,0,Haematococcus pluvialis,528.7589496,0,2,3,43,0,2
D1MTP12Exp22022,12,2,1,2022,22022,7/19/2022,Day0,100,98.09453815,Haematococcus pluvialis,854.8347777,11.47526291,1,3,15,326,2
D1MTP13Exp22022,13,2,1,2022,22022,7/19/2022,Day0,1,4.308235294,Haematococcus pluvialis,568.3474054,0.758028497,7,0,64,5,0
D1MTP14Exp22022,14,2,1,2022,22022,7/19/2022,Day0,30,8.794865424,Haematococcus pluvialis,898.2031154,0.979162204,4,0,38,0,9
D1MTP15Exp22022,15,2,1,2022,22022,7/19/2022,Day0,100,31.03908142,Haematococcus pluvialis,711.7402579,4.361012473,5,1,29,201,6
D1MTP16Exp22022,16,2,1,2022,22022,7/19/2022,Day0,0,0,Haematococcus pluvialis,433.3706685,0,0,3,74,77,5
D1MTP17Exp22022,17,2,1,2022,22022,7/19/2022,Day0,1,0,Haematococcus pluvialis,689.6523506,0,11,1,23,2,3
D1MTP18Exp22022,18,2,1,2022,22022,7/19/2022,Day0,10,4.290828283,Haematococcus pluvialis,373.6126957,1.148469614,4,1,41,37,4
D1MTP19Exp22022,19,2,1,2022,22022,7/19/2022,Day0,100,26.00767347,Haematococcus pluvialis,945.1108462,2.751811978,5,10,31,164,4
D1MTP1Exp22022,1,2,1,2022,22022,7/19/2022,Day0,10,8.849833333,Haematococcus pluvialis,677.6102117,1.306036004,2,2,63,47,2
D1MTP20Exp22022,20,2,1,2022,22022,7/19/2022,Day0,1,4.308235294,Haematococcus pluvialis,624.3329222,0.690054159,8,6,37,8,0
D1MTP21Exp22022,21,2,1,2022,22022,7/19/2022,Day0,1,4.24792,Haematococcus pluvialis,1040.48295,0.408264258,1,0,44,21,0
D1MTP2Exp22022,2,2,1,2022,22022,7/19/2022,Day0,0,0,Haematococcus pluvialis,417.9976912,0,6,6,66,0,2
D1MTP3Exp22022,3,2,1,2022,22022,7/19/2022,Day0,10,9.222579244,Haematococcus pluvialis,526.1417145,1.752869805,1,0,39,59,3
D1MTP4Exp22022,4,2,1,2022,22022,7/19/2022,Day0,30,25,Haematococcus pluvialis,766.6661943,3.260871574,1,5,56,140,1
D1MTP5Exp22022,5,2,1,2022,22022,7/19/2022,Day0,30,8.581656566,Haematococcus pluvialis,481.5282153,1.782171074,6,0,59,129,2
D1MTP6Exp22022,6,2,1,2022,22022,7/19/2022,Day0,10,0,Haematococcus pluvialis,946.0893254,0,9,4,44,33,1
D1MTP7Exp22022,7,2,1,2022,22022,7/19/2022,Day0,100,12.64261905,Haematococcus pluvialis,931.0547463,1.357881381,8,0,55,178,3
D1MTP8Exp22022,8,2,1,2022,22022,7/19/2022,Day0,30,12.95097561,Haematococcus pluvialis,716.1539486,1.808406647,7,5,54,101,3
D1MTP9Exp22022,9,2,1,2022,22022,7/19/2022,Day0,0,0,Haematococcus pluvialis,866.4690377,0,15,4,29,0,2
D21MTP10Exp12022,10,1,21,2022,12022,6/22/2022,Week3,10,0,Chrysosphaerella sp.,9470.029654,0,15,0,0,0,7
D21MTP10Exp32022,10,3,21,2022,32022,10/10/2022,Week3,10,0,Chrysosphaerella sp.,5142.218947,0,0,0,0,0,0
D21MTP11Exp12022,11,1,21,2022,12022,6/22/2022,Week3,100,0,Chrysosphaerella sp.,2942.738473,0,14,0,0,0,8
D21MTP12Exp12022,12,1,21,2022,12022,6/22/2022,Week3,1,4.26497992,Chrysosphaerella sp.,7972.033055,0.053499275,0,2,1,0,2
D21MTP12Exp32022,12,3,21,2022,32022,10/10/2022,Week3,30,0,Chrysosphaerella sp.,8201.341345,0,0,0,0,0,0
D21MTP13Exp12022,13,1,21,2022,12022,6/22/2022,Week3,30,0,Chrysosphaerella sp.,5314.252377,0,0,0,0,0,0
D21MTP13Exp32022,13,3,21,2022,32022,10/10/2022,Week3,1,0,Chrysosphaerella sp.,5199.45408,0,0,0,0,0,0
D21MTP14Exp12022,14,1,21,2022,12022,6/22/2022,Week3,10,0,Chrysosphaerella sp.,4388.664337,0,0,0,0,0,0
D21MTP14Exp32022,14,3,21,2022,32022,10/10/2022,Week3,100,0,Chrysosphaerella sp.,4685.473991,0,0,0,0,0,0
D21MTP15Exp12022,15,1,21,2022,12022,6/22/2022,Week3,0,0,Chrysosphaerella sp.,1362.166347,0,0,0,12,0,0
D21MTP15Exp32022,15,3,21,2022,32022,10/10/2022,Week3,30,0,Chrysosphaerella sp.,7820.034545,0,0,0,0,0,0
D21MTP16Exp12022,16,1,21,2022,12022,6/22/2022,Week3,100,0,Chrysosphaerella sp.,4603.376115,0,0,11,0,0,0
D21MTP16Exp32022,16,3,21,2022,32022,10/10/2022,Week3,1,0,Chrysosphaerella sp.,5156.939918,0,0,0,0,0,0
D21MTP17Exp12022,17,1,21,2022,12022,6/22/2022,Week3,1,0,Chrysosphaerella sp.,2932.404234,0,1,7,0,0,0
D21MTP17Exp32022,17,3,21,2022,32022,10/10/2022,Week3,10,0,Chrysosphaerella sp.,12685.68297,0,0,0,0,0,0
D21MTP18Exp12022,18,1,21,2022,12022,6/22/2022,Week3,1,22.65557333,Chrysosphaerella sp.,4938.914987,0.458715596,2,5,0,0,2
D21MTP18Exp32022,18,3,21,2022,32022,10/10/2022,Week3,0,0,Chrysosphaerella sp.,5737.335934,0,0,0,0,0,0
D21MTP19Exp12022,19,1,21,2022,12022,6/22/2022,Week3,10,0,Chrysosphaerella sp.,2250.079082,0,0,3,1,0,0
D21MTP19Exp32022,19,3,21,2022,32022,10/10/2022,Week3,30,0,Chrysosphaerella sp.,6930.816842,0,0,0,0,0,0
D21MTP1Exp12022,1,1,21,2022,12022,6/22/2022,Week3,100,0,Chrysosphaerella sp.,12369.42222,0,0,17,0,0,0
D21MTP1Exp32022,1,3,21,2022,32022,10/10/2022,Week3,0,0,Chrysosphaerella sp.,7557.757667,0,0,3,0,0,0
D21MTP20Exp12022,20,1,21,2022,12022,6/22/2022,Week3,30,4.24792,Chrysosphaerella sp.,5624.24608,0.075528701,0,0,0,0,2
D21MTP20Exp32022,20,3,21,2022,32022,10/10/2022,Week3,1,0,Chrysosphaerella sp.,9722.226946,0,0,0,0,0,0
D21MTP21Exp12022,21,1,21,2022,12022,6/22/2022,Week3,0,0,Chrysosphaerella sp.,2722.377301,0,1,27,0,0,0
D21MTP21Exp32022,21,3,21,2022,32022,10/10/2022,Week3,30,0,Chrysosphaerella sp.,8719.886414,0,0,0,0,0,0
D21MTP2Exp12022,2,1,21,2022,12022,6/22/2022,Week3,1,0,Chrysosphaerella sp.,6698.861794,0,0,3,0,0,0
D21MTP2Exp32022,2,3,21,2022,32022,10/10/2022,Week3,10,0,Chrysosphaerella sp.,5821.223704,0,0,4,0,0,0
D21MTP3Exp12022,3,1,21,2022,12022,6/22/2022,Week3,0,0,Chrysosphaerella sp.,5147.063066,0,1,9,1,0,1
D21MTP3Exp32022,3,3,21,2022,32022,10/10/2022,Week3,100,0,Chrysosphaerella sp.,6126.482231,0,0,0,0,0,0
D21MTP4Exp12022,4,1,21,2022,12022,6/22/2022,Week3,30,0,Chrysosphaerella sp.,8048.228595,0,1,9,0,0,0
D21MTP4Exp32022,4,3,21,2022,32022,10/10/2022,Week3,0,0,Chrysosphaerella sp.,6431.35088,0,0,0,0,0,0
D21MTP5Exp12022,5,1,21,2022,12022,6/22/2022,Week3,10,0,Chrysosphaerella sp.,5542.60478,0,0,0,0,0,0
D21MTP5Exp32022,5,3,21,2022,32022,10/10/2022,Week3,0,0,Chrysosphaerella sp.,4550.091629,0,0,0,0,0,0
D21MTP6Exp32022,6,3,21,2022,32022,10/10/2022,Week3,100,0,Chrysosphaerella sp.,9413.600494,0,0,0,0,0,0
D21MTP7Exp32022,7,3,21,2022,32022,10/10/2022,Week3,10,0,Chrysosphaerella sp.,4684.465138,0,0,0,0,0,0
D21MTP8Exp12022,8,1,21,2022,12022,6/22/2022,Week3,0,0,Chrysosphaerella sp.,7992.642865,0,0,3,0,0,0
D21MTP8Exp32022,8,3,21,2022,32022,10/10/2022,Week3,100,0,Chrysosphaerella sp.,3607.221322,0,0,0,0,1,0
D21MTP9Exp12022,9,1,21,2022,12022,6/22/2022,Week3,100,0,Chrysosphaerella sp.,4925.31465,0,0,4,0,0,0
D21MTP9Exp32022,9,3,21,2022,32022,10/10/2022,Week3,1,0,Chrysosphaerella sp.,4871.550809,0,0,0,0,0,0
D22MTP10Exp12021,10,1,22,2021,12021,7/6/2021,Week3,100,0,Haematococcus pluvialis,3975.499043,0,0,0,0,2,0
D22MTP10Exp22021,10,2,22,2021,22021,8/16/2021,Week3,100,0,Trachelomonas abrupta,2514.297618,0,0,0,0,0,0
D22MTP10Exp22022,10,2,22,2022,22022,8/9/2022,Week3,0,0,Haematococcus pluvialis,4693.266452,0,0,1,0,0,0
D22MTP11Exp12021,11,1,22,2021,12021,7/6/2021,Week3,30,10.01867925,Haematococcus pluvialis,11250.97679,0.089047195,0,0,0,0,0
D22MTP12Exp12021,12,1,22,2021,12021,7/6/2021,Week3,10,5.231428571,Haematococcus pluvialis,2048.104286,0.255427842,0,0,0,0,0
D22MTP12Exp22021,12,2,22,2021,22021,8/16/2021,Week3,10,0,Trachelomonas abrupta,5129.038777,0,0,0,0,0,0
D22MTP12Exp22022,12,2,22,2022,22022,8/9/2022,Week3,100,0,Haematococcus pluvialis,7136.150126,0,0,2,0,42,0
D22MTP13Exp12021,13,1,22,2021,12021,7/6/2021,Week3,0,0,Haematococcus pluvialis,6548.876666,0,0,0,0,0,0
D22MTP13Exp22021,13,2,22,2021,22021,8/16/2021,Week3,0,0,Trachelomonas abrupta,25004.01691,0,0,1,0,0,0
D22MTP13Exp22022,13,2,22,2022,22022,8/9/2022,Week3,1,0,Haematococcus pluvialis,2809.108387,0,0,1,0,0,0
D22MTP14Exp12021,14,1,22,2021,12021,7/6/2021,Week3,10,0,Haematococcus pluvialis,6376.162177,0,0,0,0,1,0
D22MTP14Exp22021,14,2,22,2021,22021,8/16/2021,Week3,10,0,Trachelomonas abrupta,5063.831463,0,0,0,0,0,0
D22MTP14Exp22022,14,2,22,2022,22022,8/9/2022,Week4,30,12.74376,Haematococcus pluvialis,3959.06144,0.321888412,0,0,0,24,0
D22MTP15Exp12021,15,1,22,2021,12021,7/6/2021,Week3,1,0,Haematococcus pluvialis,7787.853333,0,0,0,0,0,0
D22MTP15Exp22021,15,2,22,2021,22021,8/16/2021,Week3,1,0,Trachelomonas abrupta,94640.00908,0,0,0,0,0,0
D22MTP15Exp22022,15,2,22,2022,22022,8/9/2022,Week3,100,0,Haematococcus pluvialis,8426.76813,0,0,0,0,7,0
D22MTP16Exp12021,16,1,22,2021,12021,7/6/2021,Week3,100,0,Haematococcus pluvialis,2700.523992,0,0,0,0,11,0
D22MTP16Exp22021,16,2,22,2021,22021,8/16/2021,Week3,100,0,Trachelomonas abrupta,470.0917505,0,0,2,0,0,0
D22MTP16Exp22022,16,2,22,2022,22022,8/9/2022,Week3,0,0,Haematococcus pluvialis,7585.571429,0,0,0,0,0,0
D22MTP17Exp12021,17,1,22,2021,12021,7/6/2021,Week3,1,0,Haematococcus pluvialis,7092.817642,0,0,0,0,0,0
D22MTP17Exp22021,17,2,22,2021,22021,8/16/2021,Week3,1,0,Trachelomonas abrupta,1218.981227,0,0,0,0,0,0
D22MTP17Exp22022,17,2,22,2022,22022,8/9/2022,Week3,1,0,Haematococcus pluvialis,6555.432099,0,0,0,0,0,0
D22MTP18Exp12021,18,1,22,2021,12021,7/6/2021,Week3,100,0,Haematococcus pluvialis,4230.92832,0,0,0,0,0,0
D22MTP18Exp22021,18,2,22,2021,22021,8/16/2021,Week3,100,0,Trachelomonas abrupta,19668.04088,0,0,0,0,0,0
D22MTP18Exp22022,18,2,22,2022,22022,8/9/2022,Week3,10,0,Haematococcus pluvialis,2895.52098,0,0,0,0,13,0
D22MTP19Exp12021,19,1,22,2021,12021,7/6/2021,Week3,30,0,Haematococcus pluvialis,1915.898612,0,0,0,0,0,0
D22MTP19Exp22021,19,2,22,2021,22021,8/16/2021,Week3,30,0,Trachelomonas abrupta,19894.69869,0,0,10,0,0,0
D22MTP19Exp22022,19,2,22,2022,22022,8/9/2022,Week3,100,4.406556017,Haematococcus pluvialis,4796.481597,0.091870592,0,0,0,10,0
D22MTP1Exp12021,1,1,22,2021,12021,7/6/2021,Week3,30,0,Haematococcus pluvialis,5105.502176,0,0,0,0,2,0
D22MTP1Exp22022,1,2,22,2022,22022,8/9/2022,Week3,10,0,Haematococcus pluvialis,3695.6904,0,0,0,8,2,0
D22MTP20Exp12021,20,1,22,2021,12021,7/6/2021,Week3,0,0,Haematococcus pluvialis,5862.300887,0,0,0,0,0,0
D22MTP20Exp22021,20,2,22,2021,22021,8/16/2021,Week3,0,0,Trachelomonas abrupta,693.0968521,0,0,0,0,0,0
D22MTP20Exp22022,20,2,22,2022,22022,8/9/2022,Week3,1,0,Haematococcus pluvialis,4203.48569,0,0,6,0,0,0
D22MTP21Exp12021,21,1,22,2021,12021,7/6/2021,Week3,100,0,Haematococcus pluvialis,5619.135556,0,0,0,0,0,0
D22MTP21Exp22021,21,2,22,2021,22021,8/16/2021,Week3,100,0,Trachelomonas abrupta,3522.090927,0,0,0,0,0,0
D22MTP21Exp22022,21,2,22,2022,22022,8/9/2022,Week3,1,0,Haematococcus pluvialis,4384.071282,0,0,0,1,0,0
D22MTP2Exp12021,2,1,22,2021,12021,7/6/2021,Week3,10,0,Haematococcus pluvialis,4585.136399,0,0,0,0,0,0
D22MTP2Exp22021,2,2,22,2021,22021,8/16/2021,Week3,10,0,Trachelomonas abrupta,1698.731869,0,0,0,0,0,0
D22MTP2Exp22022,2,2,22,2022,22022,8/9/2022,Week3,0,0,Haematococcus pluvialis,3319.732756,0,0,0,0,0,0
D22MTP3Exp12021,3,1,22,2021,12021,7/6/2021,Week3,0,0,Haematococcus pluvialis,4550.495307,0,0,0,0,0,0
D22MTP3Exp22021,3,2,22,2021,22021,8/16/2021,Week3,0,0,Trachelomonas abrupta,2458.208685,0,0,0,0,0,0
D22MTP3Exp22022,3,2,22,2022,22022,8/9/2022,Week3,10,0,Haematococcus pluvialis,6111.803265,0,0,0,2,1,0
D22MTP4Exp12021,4,1,22,2021,12021,7/6/2021,Week3,10,0,Haematococcus pluvialis,5744.346363,0,0,0,0,0,0
D22MTP4Exp22021,4,2,22,2021,22021,8/16/2021,Week3,10,0,Trachelomonas abrupta,17065.30467,0,0,0,0,0,0
D22MTP4Exp22022,4,2,22,2022,22022,8/9/2022,Week3,30,0,Haematococcus pluvialis,3968.221564,0,0,0,0,21,0
D22MTP5Exp12021,5,1,22,2021,12021,7/6/2021,Week3,1,0,Haematococcus pluvialis,6486.927833,0,2,0,0,0,0
D22MTP5Exp22021,5,2,22,2021,22021,8/16/2021,Week3,1,0,Trachelomonas abrupta,1820.327597,0,0,0,0,0,0
D22MTP5Exp22022,5,2,22,2022,22022,8/9/2022,Week3,30,0,Haematococcus pluvialis,4291.089919,0,0,3,0,8,0
D22MTP6Exp22022,6,2,22,2022,22022,8/9/2022,Week3,10,0,Haematococcus pluvialis,529.8996715,0,0,0,1,1,0
D22MTP7Exp12021,7,1,22,2021,12021,7/6/2021,Week3,0,4.678325991,Haematococcus pluvialis,7199.9437,0.064977258,0,0,0,0,0
D22MTP7Exp22022,7,2,22,2022,22022,8/9/2022,Week3,100,0,Haematococcus pluvialis,5301.471587,0,0,2,6,15,0
D22MTP8Exp12021,8,1,22,2021,12021,7/6/2021,Week3,30,0,Haematococcus pluvialis,6677.73024,0,2,0,0,0,0
D22MTP8Exp22021,8,2,22,2021,22021,8/16/2021,Week3,30,0,Trachelomonas abrupta,10964.09489,0,0,0,0,0,0
D22MTP8Exp22022,8,2,22,2022,22022,8/9/2022,Week3,30,0,Haematococcus pluvialis,2597.901488,0,0,0,0,25,0
D22MTP9Exp12021,9,1,22,2021,12021,7/6/2021,Week3,1,0,Haematococcus pluvialis,2687.271131,0,0,0,0,0,0
D22MTP9Exp22021,9,2,22,2021,22021,8/16/2021,Week3,1,0,Trachelomonas abrupta,4028.78127,0,0,6,0,0,0
D22MTP9Exp22022,9,2,22,2022,22022,8/9/2022,Week3,0,0,Haematococcus pluvialis,8159.546333,0,0,1,2,0,0
D28MTP10Exp12021,10,1,28,2021,12021,7/12/2021,Week4,100,0,Haematococcus pluvialis,1846.736305,0,0,0,0,1,0
D28MTP10Exp22021,10,2,28,2021,22021,8/23/2021,Week4,100,4.214206349,Trachelomonas abrupta,6207.525952,0.067888663,0,0,0,0,0
D28MTP10Exp32022,10,3,28,2022,32022,10/17/2022,Week4,10,0,Chrysosphaerella sp.,1461.301748,0,0,0,0,0,0
D28MTP11Exp12021,11,1,28,2021,12021,7/12/2021,Week4,30,0,Haematococcus pluvialis,3227.750236,0,0,0,0,0,0
D28MTP11Exp22021,11,2,28,2021,22021,8/23/2021,Week4,30,0,Trachelomonas abrupta,5389.653438,0,0,1,0,0,0
D28MTP12Exp12021,12,1,28,2021,12021,7/12/2021,Week4,10,0,Haematococcus pluvialis,1277.794849,0,0,0,0,0,0
D28MTP12Exp22021,12,2,28,2021,22021,8/23/2021,Week4,10,0,Trachelomonas abrupta,2077.326147,0,0,0,0,0,0
D28MTP12Exp32022,12,3,28,2022,32022,10/17/2022,Week4,30,0,Chrysosphaerella sp.,5103.403889,0,0,0,0,0,0
D28MTP13Exp12021,13,1,28,2021,12021,7/12/2021,Week4,0,0,Haematococcus pluvialis,856.4354839,0,0,0,0,0,0
D28MTP13Exp22021,13,2,28,2021,22021,8/23/2021,Week4,0,0,Trachelomonas abrupta,4695.289527,0,0,4,0,0,0
D28MTP13Exp32022,13,3,28,2022,32022,10/17/2022,Week4,1,0,Chrysosphaerella sp.,4247.92,0,0,0,0,0,0
D28MTP14Exp12021,14,1,28,2021,12021,7/12/2021,Week4,10,0,Haematococcus pluvialis,350.3439175,0,0,0,0,0,0
D28MTP14Exp22021,14,2,28,2021,22021,8/23/2021,Week4,10,0,Trachelomonas abrupta,4129.452111,0,0,14,0,0,0
D28MTP14Exp32022,14,3,28,2022,32022,10/17/2022,Week4,100,0,Chrysosphaerella sp.,2998.531765,0,0,0,0,0,0
D28MTP15Exp12021,15,1,28,2021,12021,7/12/2021,Week4,1,0,Haematococcus pluvialis,571.8353846,0,0,0,0,0,0
D28MTP15Exp22021,15,2,28,2021,22021,8/23/2021,Week4,1,0,Trachelomonas abrupta,19445.07053,0,0,0,0,0,0
D28MTP15Exp32022,15,3,28,2022,32022,10/17/2022,Week4,30,0,Chrysosphaerella sp.,751.1565854,0,0,0,0,0,0
D28MTP16Exp12021,16,1,28,2021,12021,7/12/2021,Week4,100,0,Haematococcus pluvialis,685.4993852,0,0,0,0,1,0
D28MTP16Exp22021,16,2,28,2021,22021,8/23/2021,Week4,100,0,Trachelomonas abrupta,4417.8368,0,0,2,0,0,0
D28MTP16Exp32022,16,3,28,2022,32022,10/17/2022,Week4,1,0,Chrysosphaerella sp.,2367.232952,0,0,0,0,0,0
D28MTP17Exp12021,17,1,28,2021,12021,7/12/2021,Week4,1,0,Haematococcus pluvialis,2208.484938,0,0,0,0,0,0
D28MTP17Exp22021,17,2,28,2021,22021,8/23/2021,Week4,1,0,Trachelomonas abrupta,1599.120463,0,0,0,0,0,0
D28MTP17Exp32022,17,3,28,2022,32022,10/17/2022,Week4,10,0,Chrysosphaerella sp.,10488.69136,0,0,0,0,0,0
D28MTP18Exp12021,18,1,28,2021,12021,7/12/2021,Week4,100,0,Haematococcus pluvialis,1130.772227,0,0,0,0,6,0
D28MTP18Exp22021,18,2,28,2021,22021,8/23/2021,Week4,100,0,Trachelomonas abrupta,11643.70104,0,0,0,0,0,0
D28MTP18Exp32022,18,3,28,2022,32022,10/17/2022,Week4,0,0,Chrysosphaerella sp.,12342.85189,0,0,0,0,0,0
D28MTP19Exp12021,19,1,28,2021,12021,7/12/2021,Week4,30,0,Haematococcus pluvialis,704.9739574,0,0,0,0,0,0
D28MTP19Exp22021,19,2,28,2021,22021,8/23/2021,Week4,30,0,Trachelomonas abrupta,6997.077903,0,0,2,0,0,0
D28MTP19Exp32022,19,3,28,2022,32022,10/17/2022,Week4,30,0,Chrysosphaerella sp.,4283.616807,0,0,2,0,0,0
